question,label
야 먼지 알려주겠니,O O O
아니 먼지 정보 알려주세요,O O O O
그 때 미세먼지 어떨까,O O O O
그 때 먼지 좋으려나,O O O O
미세먼지 어떨 것 같은데,O O O O
그러면 미세먼지 어때,O O O
미세먼지 말해줄래,O O
먼지 미세먼지,O O
참 먼지 많이 꼈나,O O O O
참 먼지 어떠냐,O O O
야 미세먼지 어때,O O O
토요일 먼지 알려줘,S-DATE O O
헐 먼지 어떠려나,O O O
전주 미세먼지 어떤지 말해줘,S-LOCATION O O O
미세먼지 궁금해서 물어봤어,O O O
아 그러면 먼지 알려주세요,O O O O
아 맞다 먼지 어떠려나,O O O O
저기 현재 먼지 어떠려나,O S-DATE O O
토요일 먼지 알려주겠니,S-DATE O O
먼지 궁금해,O O
지금 먼지 어떤데,S-DATE O O
저기 미세먼지 어떨까,O O O
먼지 완전 문젠데,O O O
세종 먼지 한 번 알려줘,S-LOCATION O O O O
모레 먼지 궁금해,S-DATE O O
먼지 궁금해요,O O
미세먼지 어떨까,O O
지금 미세먼지 어떨까 심해지네,S-DATE O O O
현재 미세먼지 어떨까,S-DATE O O
공기 미세먼지 좀 알려줄래,O O O O
미세먼지 먼지,O O
미세먼지 좀 먼지,O O O
월요일 근데 먼지 어떠려나,S-DATE O O O
미세먼지 없니 현재,O O S-DATE
지금 미세먼지 없니 현재,S-DATE O O S-DATE
공기 미세먼지 현재,O O S-DATE
공기상태 알려줘,O O
아 먼지 심하네,O O O
어떤데 먼지,O O
먼지 알려줬으면 졸겠어,O O O
미세먼지 없나 하,O O O
지금 먼지 많네,S-DATE O O
월요일 여행갈건데 먼지 알려줘,S-DATE O O O
먼지 궁금하네,O O
토요일 먼지 심하니,S-DATE O O
월요일 미세먼지 심할까,S-DATE O O
먼지 많이 심하려나,O O O
알려주세요 먼지,O O
먼지 꼈나,O O
먼지 끼었나,O O
현재 지금 먼지 많니,B-DATE E-DATE O O
먼지 알려주세요 궁금해요,O O O
미세먼지 혹시라도 심할까,O O O
먼지 안 심해야 하는데,O O O O
나한테 공기상태 알려줘,O O O
나 궁금한데 미세먼지 알려줘,O O O O
여행 갈건데 미세먼지 어때,O O O O
